"","sciname","Genus","Species","SpeciesRefNo","FamCode","DemersPelag","DepthRangeDeep","Length","LTypeMaxM","SpecCode"
"19354","Pristipomoides argyrogrammicus","Pristipomoides","argyrogrammicus",55,323,"reef-associated",350,40,"SL",199
"19355","Pristipomoides auricilla","Pristipomoides","auricilla",55,323,"benthopelagic",360,45,"TL",200
"19356","Pristipomoides filamentosus","Pristipomoides","filamentosus",55,323,"benthopelagic",400,100,"TL",201
"19357","Pristipomoides flavipinnis","Pristipomoides","flavipinnis",55,323,"reef-associated",360,50,"SL",202
"19358","Pristipomoides freemani","Pristipomoides","freemani",55,323,"demersal",220,23.3,"TL",205
"19359","Pristipomoides macrophthalmus","Pristipomoides","macrophthalmus",55,323,"benthopelagic",550,50,"TL",206
"19360","Pristipomoides multidens","Pristipomoides","multidens",55,323,"demersal",245,90,"TL",208
"19361","Pristipomoides sieboldii","Pristipomoides","sieboldii",55,323,"benthopelagic",360,79,"TL",209
"19362","Pristipomoides typus","Pristipomoides","typus",55,323,"demersal",120,70,"TL",210
"19363","Pristipomoides zonatus","Pristipomoides","zonatus",55,323,"benthopelagic",300,50,"TL",211
"19364","Randallichthys filamentosus","Randallichthys","filamentosus",55,323,"benthopelagic",300,50,"SL",212
"19365","Rhomboplites aurorubens","Rhomboplites","aurorubens",55,323,"demersal",300,60,"TL",213
"19366","Symphorichthys spilurus","Symphorichthys","spilurus",55,323,"reef-associated",60,60,"TL",214
"19367","Symphorus nematophorus","Symphorus","nematophorus",55,323,"reef-associated",100,100,"SL",215
"19368","Luvarus imperialis","Luvarus","imperialis",11017,418,"pelagic-oceanic",200,200,"TL",1725
"19369","Albatrossia pectoralis","Albatrossia","pectoralis",1371,185,"bathydemersal",3500,210,"TL",8435
"19370","Asthenomacrurus fragilis","Asthenomacrurus","fragilis",9315,185,"bathypelagic",3336,20,"TL",13880
"19371","Asthenomacrurus victoris","Asthenomacrurus","victoris",41160,185,"bathydemersal",3530,24.9,"TL",24983
"19372","Bathygadus antrodes","Bathygadus","antrodes",559,185,"bathydemersal",1200,63.5,"TL",23173
"19373","Bathygadus bowersi","Bathygadus","bowersi",1371,185,"benthopelagic",1464,NA,NA,52357
"19374","Bathygadus cottoides","Bathygadus","cottoides",11953,185,"bathydemersal",1600,24,"TL",24990
"19375","Bathygadus dubiosus","Bathygadus","dubiosus",40449,185,"benthopelagic",924,NA,NA,58888
"19376","Bathygadus entomelas","Bathygadus","entomelas",1371,185,"benthopelagic",796,17.8,"TL",58889
"19377","Bathygadus favosus","Bathygadus","favosus",1371,185,"bathydemersal",2745,46.5,"TL",8433
"19378","Bathygadus furvescens","Bathygadus","furvescens",26165,185,"bathypelagic",1295,36,"TL",47156
"19379","Bathygadus garretti","Bathygadus","garretti",1371,185,"benthopelagic",544,51,"TL",53753
"19380","Bathygadus macrops","Bathygadus","macrops",1371,185,"bathypelagic",777,50,"TL",5479
"19381","Bathygadus melanobranchus","Bathygadus","melanobranchus",1371,185,"bathydemersal",2600,50,"TL",5045
"19382","Bathygadus nipponicus","Bathygadus","nipponicus",1371,185,"benthopelagic",NA,56.5,"TL",23175
"19383","Bathygadus spongiceps","Bathygadus","spongiceps",26165,185,"bathypelagic",1463,27,"TL",47157
"19384","Bathygadus sulcatus","Bathygadus","sulcatus",1371,185,"bathydemersal",970,NA,NA,52368
"19385","Cetonurichthys subinflatus","Cetonurichthys","subinflatus",35909,185,"bathydemersal",1700,40,"TL",58932
"19386","Cetonurus crassiceps","Cetonurus","crassiceps",7300,185,"benthopelagic",1490,44,"TL",25001
"19387","Cetonurus globiceps","Cetonurus","globiceps",35909,185,"bathypelagic",4621,50,"TL",17097
"19388","Coelorinchus acanthiger","Coelorinchus","acanthiger",1371,185,"bathydemersal",1500,50,"TL",8436
"19389","Coelorinchus acantholepis","Coelorinchus","acantholepis",40448,185,"benthopelagic",759,16,"TL",58836
"19390","Coelorinchus aconcagua","Coelorinchus","aconcagua",1371,185,"benthopelagic",450,39,"TL",8437
"19391","Coelorinchus acutirostris","Coelorinchus","acutirostris",35908,185,"bathydemersal",320,22.3,"TL",7598
"19392","Coelorinchus amirantensis","Coelorinchus","amirantensis",75955,185,"bathydemersal",1900,52.5,"TL",64685
"19393","Coelorinchus amydrozosterus","Coelorinchus","amydrozosterus",35909,185,"bathydemersal",717,25,"TL",58922
"19394","Coelorinchus anatirostris","Coelorinchus","anatirostris",1371,185,"bathydemersal",550,43,"TL",8438
"19395","Coelorinchus anisacanthus","Coelorinchus","anisacanthus",28494,185,"benthopelagic",550,30,"TL",51660
"19396","Coelorinchus aratrum","Coelorinchus","aratrum",28494,185,"benthopelagic",730,35.5,"TL",51661
"19397","Coelorinchus argentatus","Coelorinchus","argentatus",1371,185,"benthopelagic",582,37,"TL",8439
"19398","Coelorinchus argus","Coelorinchus","argus",1371,185,"benthopelagic",424,20,"TL",8440
"19399","Coelorinchus aspercephalus","Coelorinchus","aspercephalus",1371,185,"benthopelagic",335,34,"TL",8441
"19400","Coelorinchus asteroides","Coelorinchus","asteroides",559,185,"benthopelagic",NA,40,"TL",23220
"19401","Coelorinchus australis","Coelorinchus","australis",1371,185,"benthopelagic",300,55,"TL",8442
"19402","Coelorinchus biclinozonalis","Coelorinchus","biclinozonalis",1371,185,"benthopelagic",549,60,"TL",8443
"19403","Coelorinchus bollonsi","Coelorinchus","bollonsi",26363,185,"benthopelagic",392,NA,NA,47487
"19404","Coelorinchus braueri","Coelorinchus","braueri",11953,185,"bathydemersal",1200,40,"TL",7838
"19405","Coelorinchus brevirostris","Coelorinchus","brevirostris",1371,185,"benthopelagic",600,21.6,"TL",58840
"19406","Coelorinchus caelorhincus","Coelorinchus","caelorhincus",1371,185,"benthopelagic",1485,48,"TL",1726
"19407","Coelorinchus campbellicus","Coelorinchus","campbellicus",46206,185,"benthopelagic",1026,NA,NA,60850
"19408","Coelorinchus canus","Coelorinchus","canus",1371,185,"benthopelagic",460,27.5,"TL",8181
"19409","Coelorinchus caribbaeus","Coelorinchus","caribbaeus",1371,185,"bathydemersal",700,45,"TL",3102
"19410","Coelorinchus carinifer","Coelorinchus","carinifer",1371,185,"bathydemersal",761,28.7,"TL",52155
"19411","Coelorinchus caudani","Coelorinchus","caudani",27913,185,"bathydemersal",1410,36,"TL",51088
"19412","Coelorinchus celaenostomus","Coelorinchus","celaenostomus",35908,185,"bathydemersal",975,82.8,"TL",48964
"19413","Coelorinchus charius","Coelorinchus","charius",35909,185,"bathydemersal",691,37,"TL",57809
"19414","Coelorinchus chilensis","Coelorinchus","chilensis",1371,185,"bathydemersal",1480,48,"TL",8445
"19415","Coelorinchus cingulatus","Coelorinchus","cingulatus",1371,185,"bathydemersal",421,NA,NA,52158
"19416","Coelorinchus commutabilis","Coelorinchus","commutabilis",1371,185,"benthopelagic",NA,NA,NA,52159
"19417","Coelorinchus cookianus","Coelorinchus","cookianus",26363,185,"benthopelagic",1175,NA,NA,47491
"19418","Coelorinchus cylindricus","Coelorinchus","cylindricus",35908,185,"bathydemersal",920,19,"TL",57945
"19419","Coelorinchus denticulatus","Coelorinchus","denticulatus",11953,185,"benthopelagic",335,28,"TL",8446
"19420","Coelorinchus divergens","Coelorinchus","divergens",1371,185,"benthopelagic",1000,NA,NA,58842
"19421","Coelorinchus dorsalis","Coelorinchus","dorsalis",1371,185,"benthopelagic",NA,NA,NA,52161
"19422","Coelorinchus doryssus","Coelorinchus","doryssus",28494,185,"benthopelagic",867,32.7,"TL",51662
"19423","Coelorinchus fasciatus","Coelorinchus","fasciatus",1371,185,"bathydemersal",1086,50,"TL",7131
"19424","Coelorinchus flabellispinnis","Coelorinchus","flabellispinnis",2800,185,"benthopelagic",NA,47.5,"TL",10240
"19425","Coelorinchus formosanus","Coelorinchus","formosanus",1371,185,"benthopelagic",300,25,"TL",8447
"19426","Coelorinchus fuscigulus","Coelorinchus","fuscigulus",83367,185,"bathydemersal",600,NA,NA,65257
"19427","Coelorinchus gaesorhynchus","Coelorinchus","gaesorhynchus",35909,185,"bathydemersal",290,25,"TL",57794
"19428","Coelorinchus geronimo","Coelorinchus","geronimo",1371,185,"benthopelagic",510,26.5,"TL",17108
"19429","Coelorinchus gilberti","Coelorinchus","gilberti",559,185,"benthopelagic",644,60,"TL",23223
"19430","Coelorinchus gladius","Coelorinchus","gladius",9949,185,"benthopelagic",647,NA,NA,52358
"19431","Coelorinchus goobala","Coelorinchus","goobala",35909,185,"bathydemersal",582,35,"TL",57889
"19432","Coelorinchus gormani","Coelorinchus","gormani",75874,185,"bathydemersal",700,30,"TL",64030
"19433","Coelorinchus hexafasciatus","Coelorinchus","hexafasciatus",1371,185,"bathydemersal",910,62,"TL",8448
"19434","Coelorinchus hige","Coelorinchus","hige",1371,185,"benthopelagic",NA,NA,NA,58847
"19435","Coelorinchus hoangi","Coelorinchus","hoangi",75874,185,"bathydemersal",700,35,"TL",64029
"19436","Coelorinchus horribilis","Coelorinchus","horribilis",26363,185,"bathydemersal",1142,35,"TL",48968
"19437","Coelorinchus hubbsi","Coelorinchus","hubbsi",559,185,"benthopelagic",NA,23,"TL",23208
"19438","Coelorinchus immaculatus","Coelorinchus","immaculatus",9949,185,"bathydemersal",780,32,"TL",52262
"19439","Coelorinchus infuscus","Coelorinchus","infuscus",26363,185,"bathydemersal",757,30.5,"TL",48970
"19440","Coelorinchus innotabilis","Coelorinchus","innotabilis",1371,185,"bathydemersal",1463,32,"TL",8449
"19441","Coelorinchus japonicus","Coelorinchus","japonicus",1371,185,"bathydemersal",1000,75,"TL",8450
"19442","Coelorinchus jordani","Coelorinchus","jordani",559,185,"benthopelagic",NA,26,"TL",23216
"19443","Coelorinchus kaiyomaru","Coelorinchus","kaiyomaru",11953,185,"bathydemersal",1150,43,"TL",8451
"19444","Coelorinchus kamoharai","Coelorinchus","kamoharai",1371,185,"bathydemersal",400,28,"TL",8452
"19445","Coelorinchus karrerae","Coelorinchus","karrerae",1371,185,"bathydemersal",1150,35,"TL",8453
"19446","Coelorinchus kermadecus","Coelorinchus","kermadecus",26363,185,"benthopelagic",1401,62,"TL",47493
"19447","Coelorinchus kishinouyei","Coelorinchus","kishinouyei",1371,185,"bathydemersal",600,36,"TL",8455
"19448","Coelorinchus labiatus","Coelorinchus","labiatus",1371,185,"bathydemersal",2220,50,"TL",8456
"19449","Coelorinchus lasti","Coelorinchus","lasti",35909,185,"benthopelagic",1140,62,"TL",58883
"19450","Coelorinchus leptorhinus","Coelorinchus","leptorhinus",55093,185,"benthopelagic",800,85,"TL",62215
"19451","Coelorinchus longicephalus","Coelorinchus","longicephalus",1371,185,"bathydemersal",700,89,"TL",8457
"19452","Coelorinchus longissimus","Coelorinchus","longissimus",559,185,"benthopelagic",NA,36,"SL",23207
"19453","Coelorinchus macrochir","Coelorinchus","macrochir",1371,185,"bathydemersal",830,68,"TL",8458
"19454","Coelorinchus macrolepis","Coelorinchus","macrolepis",1371,185,"benthopelagic",NA,NA,NA,52162
"19455","Coelorinchus macrorhynchus","Coelorinchus","macrorhynchus",1371,185,"bathydemersal",759,NA,NA,52163
"19456","Coelorinchus maculatus","Coelorinchus","maculatus",1371,185,"bathydemersal",545,NA,NA,11688
"19457","Coelorinchus marinii","Coelorinchus","marinii",1371,185,"benthopelagic",600,38,"TL",7132
"19458","Coelorinchus matamua","Coelorinchus","matamua",11953,185,"bathydemersal",1000,65,"TL",8459
"19459","Coelorinchus matsubarai","Coelorinchus","matsubarai",559,185,"bathydemersal",600,33,"TL",23215
"19460","Coelorinchus maurofasciatus","Coelorinchus","maurofasciatus",26363,185,"bathydemersal",483,39.9,"TL",48972
"19461","Coelorinchus mayiae","Coelorinchus","mayiae",35909,185,"bathydemersal",200,28,"TL",57888
"19462","Coelorinchus mediterraneus","Coelorinchus","mediterraneus",42712,185,"bathydemersal",1200,24.5,"TL",59766
"19463","Coelorinchus melanobranchus","Coelorinchus","melanobranchus",35908,185,"bathydemersal",530,21,"TL",58898
"19464","Coelorinchus melanosagmatus","Coelorinchus","melanosagmatus",33374,185,"bathypelagic",400,23,"TL",54943
"19465","Coelorinchus mirus","Coelorinchus","mirus",1371,185,"demersal",400,35,"TL",14056
"19466","Coelorinchus multifasciatus","Coelorinchus","multifasciatus",9949,185,"bathydemersal",500,14,"TL",52264
"19467","Coelorinchus multispinulosus","Coelorinchus","multispinulosus",1371,185,"benthopelagic",300,38,"TL",8461
"19468","Coelorinchus mycterismus","Coelorinchus","mycterismus",26363,185,"bathydemersal",1150,49,"TL",48983
"19469","Coelorinchus mystax","Coelorinchus","mystax",26363,185,"bathydemersal",675,55,"TL",48984
"19470","Coelorinchus nazcaensis","Coelorinchus","nazcaensis",9949,185,"bathypelagic",530,40,"TL",52265
"19471","Coelorinchus notatus","Coelorinchus","notatus",1371,185,"benthopelagic",NA,NA,NA,52164
"19472","Coelorinchus obscuratus","Coelorinchus","obscuratus",80968,185,"bathydemersal",1460,45,"TL",64976
"19473","Coelorinchus occa","Coelorinchus","occa",1371,185,"bathydemersal",2220,50,"TL",3103
"19474","Coelorinchus oliverianus","Coelorinchus","oliverianus",1371,185,"bathydemersal",1245,35,"TL",8462
"19475","Coelorinchus osipullus","Coelorinchus","osipullus",80968,185,"bathydemersal",1340,71,"TL",64975
"19476","Coelorinchus parallelus","Coelorinchus","parallelus",1371,185,"bathydemersal",990,48,"TL",8463
"19477","Coelorinchus pardus","Coelorinchus","pardus",35909,185,"benthopelagic",187,30,"TL",58885
"19478","Coelorinchus parvifasciatus","Coelorinchus","parvifasciatus",26363,185,"bathydemersal",800,28.5,"TL",48985
"19479","Coelorinchus platorhynchus","Coelorinchus","platorhynchus",1371,185,"bathydemersal",1034,NA,NA,52165
"19480","Coelorinchus polli","Coelorinchus","polli",11953,185,"benthopelagic",360,30,"TL",16822
"19481","Coelorinchus productus","Coelorinchus","productus",1371,185,"bathydemersal",600,31,"TL",8464
"19482","Coelorinchus pseudoparallelus","Coelorinchus","pseudoparallelus",58387,185,"bathydemersal",NA,NA,NA,64918
"19483","Coelorinchus quadricristatus","Coelorinchus","quadricristatus",1371,185,"benthopelagic",741,NA,NA,47201
"19484","Coelorinchus quincunciatus","Coelorinchus","quincunciatus",1371,185,"benthopelagic",296,NA,NA,52166
"19485","Coelorinchus radcliffei","Coelorinchus","radcliffei",1371,185,"bathydemersal",567,NA,NA,52168
"19486","Coelorinchus scaphopsis","Coelorinchus","scaphopsis",1371,185,"benthopelagic",300,34,"TL",8465
"19487","Coelorinchus semaphoreus","Coelorinchus","semaphoreus",35908,185,"bathydemersal",445,34,"TL",58929
"19488","Coelorinchus sereti","Coelorinchus","sereti",35908,185,"bathydemersal",825,45,"TL",58930
"19489","Coelorinchus sexradiatus","Coelorinchus","sexradiatus",1371,185,"bathydemersal",582,NA,NA,52169
"19490","Coelorinchus shcherbachevi","Coelorinchus","shcherbachevi",35908,185,"bathydemersal",835,NA,NA,58931
"19491","Coelorinchus sheni","Coelorinchus","sheni",54421,185,"benthopelagic",650,93.7,"TL",62123
"19492","Coelorinchus simorhynchus","Coelorinchus","simorhynchus",11953,185,"bathydemersal",986,40.5,"TL",27105
"19493","Coelorinchus smithi","Coelorinchus","smithi",559,185,"bathydemersal",1110,43.2,"TL",23219
"19494","Coelorinchus sparsilepis","Coelorinchus","sparsilepis",1371,185,"bathydemersal",713,NA,NA,58858
"19495","Coelorinchus spathulatus","Coelorinchus","spathulatus",26363,185,"bathydemersal",710,27.5,"TL",48986
"19496","Coelorinchus spilonotus","Coelorinchus","spilonotus",9949,185,"benthopelagic",600,20,"TL",52267
"19497","Coelorinchus spinifer","Coelorinchus","spinifer",40448,185,"benthopelagic",1393,NA,NA,58859
"19498","Coelorinchus supernasutus","Coelorinchus","supernasutus",26363,185,"bathydemersal",750,63.5,"TL",48987
"19499","Coelorinchus thompsoni","Coelorinchus","thompsoni",1371,185,"bathydemersal",366,NA,NA,52170
"19500","Coelorinchus thurla","Coelorinchus","thurla",35909,185,"bathydemersal",320,21,"TL",57891
"19501","Coelorinchus tokiensis","Coelorinchus","tokiensis",559,185,"benthopelagic",NA,56,"TL",23221
"19502","Coelorinchus trachycarus","Coelorinchus","trachycarus",31108,185,"bathydemersal",1350,50.8,"TL",56594
"19503","Coelorinchus triocellatus","Coelorinchus","triocellatus",1371,185,"benthopelagic",NA,NA,NA,52171
"19504","Coelorinchus trunovi","Coelorinchus","trunovi",11953,185,"bathypelagic",552,44,"TL",27114
"19505","Coelorinchus velifer","Coelorinchus","velifer",1371,185,"bathydemersal",446,NA,NA,52172
"19506","Coelorinchus ventrilux","Coelorinchus","ventrilux",1371,185,"bathydemersal",500,30,"TL",8466
"19507","Coelorinchus vityazae","Coelorinchus","vityazae",58387,185,"bathypelagic",920,32,"TL",63421
"19508","Coelorinchus weberi","Coelorinchus","weberi",1371,185,"benthopelagic",410,NA,NA,52173
"19509","Coelorinchus yurii","Coelorinchus","yurii",75955,185,"benthopelagic",1900,54.1,"TL",64974
"19510","Coryphaenoides acrolepis","Coryphaenoides","acrolepis",1371,185,"bathydemersal",3700,104,"TL",8467
"19511","Coryphaenoides affinis","Coryphaenoides","affinis",1371,185,"benthopelagic",3477,NA,NA,58837
"19512","Coryphaenoides alateralis","Coryphaenoides","alateralis",1371,185,"bathydemersal",1116,26.5,"TL",58864
"19513","Coryphaenoides altipennis","Coryphaenoides","altipennis",559,185,"benthopelagic",NA,47,"TL",23628
"19514","Coryphaenoides anguliceps","Coryphaenoides","anguliceps",1371,185,"bathydemersal",2400,50,"TL",8470
"19515","Coryphaenoides ariommus","Coryphaenoides","ariommus",1371,185,"bathydemersal",1860,46,"TL",8471
"19516","Coryphaenoides armatus","Coryphaenoides","armatus",1371,185,"bathypelagic",5180,102,"TL",5127
"19517","Coryphaenoides asper","Coryphaenoides","asper",559,185,"benthopelagic",NA,32,"TL",23206
"19518","Coryphaenoides asprellus","Coryphaenoides","asprellus",10437,185,"bathydemersal",2290,51.5,"TL",52184
"19519","Coryphaenoides boops","Coryphaenoides","boops",9315,185,"bathydemersal",1000,42.5,"TL",13881
"19520","Coryphaenoides brevibarbis","Coryphaenoides","brevibarbis",1371,185,"bathypelagic",4700,35,"TL",27726
"19521","Coryphaenoides bucephalus","Coryphaenoides","bucephalus",9315,185,"bathypelagic",2880,59,"TL",13882
"19522","Coryphaenoides bulbiceps","Coryphaenoides","bulbiceps",9315,185,"bathypelagic",3200,81,"TL",13886
"19523","Coryphaenoides camurus","Coryphaenoides","camurus",1371,185,"bathypelagic",2022,NA,NA,52180
"19524","Coryphaenoides capito","Coryphaenoides","capito",9315,185,"bathypelagic",1000,32.4,"TL",13887
"19525","Coryphaenoides carapinus","Coryphaenoides","carapinus",11953,185,"bathydemersal",5610,45,"TL",17066
"19526","Coryphaenoides carminifer","Coryphaenoides","carminifer",1371,185,"bathypelagic",1870,36,"TL",8472
"19527","Coryphaenoides castaneus","Coryphaenoides","castaneus",10437,185,"benthopelagic",1760,74,"TL",52216
"19528","Coryphaenoides cinereus","Coryphaenoides","cinereus",1371,185,"bathydemersal",3500,66,"TL",8473
"19529","Coryphaenoides delsolari","Coryphaenoides","delsolari",1371,185,"bathydemersal",1650,51,"TL",8182
"19530","Coryphaenoides dossenus","Coryphaenoides","dossenus",40966,185,"bathydemersal",910,NA,NA,58844
"19531","Coryphaenoides dubius","Coryphaenoides","dubius",1371,185,"benthopelagic",NA,NA,NA,52182
"19532","Coryphaenoides fernandezianus","Coryphaenoides","fernandezianus",11650,185,"bathydemersal",2515,NA,NA,50077
"19533","Coryphaenoides ferrieri","Coryphaenoides","ferrieri",5171,185,"benthopelagic",3931,60,"TL",7133
"19534","Coryphaenoides filamentosus","Coryphaenoides","filamentosus",559,185,"benthopelagic",NA,43,"TL",23205
"19535","Coryphaenoides filicauda","Coryphaenoides","filicauda",5171,185,"bathypelagic",5000,40,"TL",7189
