species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Anchoa filifera,,x,,x,x
Anchoa hepsetus,,x,,x,x
Anchoa januaria,,x,,x,x
Anchoa lamprotaenia,,x,,x,x
Anchoa lyolepis,,x,,x,x
Anchoa mitchilli,,x,,x,x
Anchoa parva,,x,,x,x
Anchoa spinifer,,,,x,x
Anchoa trinitatis,,x,,x,x
Anchovia clupeoides,,x,,x,x
Anchovia surinamensis,,x,,x,x
Anchoviella blackburni,,x,,x,x
Anchoviella brevirostris,,x,,x,x
Anchoviella elongata,,x,,x,x
Anchoviella guianensis,,x,,x,x
Anchoviella lepidentostole,,x,,x,x
Anchoviella perfasciata,,x,,x,x
Cetengraulis edentulus,,x,,x,x
Engraulis eurystole,,x,,x,x
Lycengraulis batesii,,x,,x,x
Lycengraulis grossidens,,x,,x,x
Lycengraulis limnichthys,,x,,x,x
Pterengraulis atherinoides,,x,,x,x
Ephippidae,,,,,
Chaetodipterus faber,x,x,x,,
Platax orbicularis,x,,,,
Etmopteridae,,,,,
Centroscyllium fabricii,x,x,x,,
Etmopterus bigelowi,x,,x,x,
Etmopterus bullisi,x,,x,,
Etmopterus carteri,x,x,,x,
Etmopterus gracilispinis,x,x,x,x,
Etmopterus hillianus,x,,x,,
Etmopterus perryi,,,,,
Etmopterus pusillus,x,x,x,,
Etmopterus robinsi,x,,x,,
Etmopterus schultzi,x,,x,,
Etmopterus virens,x,,x,,
Exocoetidae,,,,,
Cheilopogon cyanopterus,,,,x,x
Cheilopogon exsiliens,,,,x,x
Cheilopogon furcatus,,,,x,x
Cheilopogon heterurus,,,,x,x
Cheilopogon melanurus,,,,x,x
Cypselurus comatus,,,,x,x
Exocoetus obtusirostris,,,,x,x
Exocoetus volitans,,,,x,x
Hirundichthys affinis,,,,x,x
Hirundichthys rondeletii,,,,x,x
Hirundichthys speculiger,,,,x,x
Parexocoetus hillianus,,,,x,x
Prognichthys glaphyrae,,,,x,x
Prognichthys occidentalis,,,,x,x
Fistulariidae,,,,,
Fistularia petimba,x,,x,,
Fistularia tabacaria,x,,x,,
Fundulidae,,,,,
Fundulus bermudae,x,,,,
Fundulus chrysotus,x,,,,
Fundulus confluentus,x,,,,
Fundulus grandis,x,,,,
Fundulus grandissimus,x,,,,
Fundulus jenkinsi,x,,,,
Fundulus majalis,x,,,,
Fundulus persimilis,x,,,,
Fundulus pulvereus,x,,,,
Fundulus relictus,x,,,,
Fundulus saguanus,x,,,,
Fundulus seminolis,x,,,,
Fundulus similis,x,,,,
Fundulus xenicus,x,,,,
Lucania parva,x,,x,,
Gadidae,,,,,
Enchelyopus cimbrius,x,,,,
Phycis chesteri,x,x,x,,
Urophycis cirrata,x,x,x,,
Urophycis earllii,x,,x,,
Urophycis floridana,x,,x,,
Urophycis regia,x,,x,,
Gempylidae,,,,,
Diplospinus multistriatus,,x,x,,
Epinnula magistralis,x,x,x,,
Gempylus serpens,,x,,x,x
Lepidocybium flavobrunneum,,x,,x,x
Nealotus tripes,,x,,x,x
Neoepinnula americana,x,,x,,
Nesiarchus nasutus,x,x,x,,
Promethichthys prometheus,x,x,x,,
